I9_PR,I9_PR_desc,proc_class
5791,BLADDER SPHINCTEROTOMY,Major Therapeutic
5792,BLADDER NECK DILATION,Minor Therapeutic
5793,CONTROL BLADD HEMORRHAGE,Major Therapeutic
5794,INSERT INDWELLING CATH,Minor Therapeutic
5795,REPLACE INDWELLING CATH,Minor Therapeutic
5796,IMPLANT BLADDER STIMULAT,Major Therapeutic
5797,REPLACE BLADDER STIMULAT,Major Therapeutic
5798,REMOVE BLADDER STIMULAT,Major Therapeutic
5799,BLADDER OPERATION NEC,Major Therapeutic
580 ,URETHROTOMY,Major Therapeutic
581 ,URETHRAL MEATOTOMY,Major Therapeutic
5821,PERINEAL URETHROSCOPY,Minor Diagnostic
5822,URETHROSCOPY NEC,Minor Diagnostic
5823,URETHRAL BIOPSY,Minor Diagnostic
5824,PERIURETHRAL BIOPSY,Minor Diagnostic
5829,URETHRAL DX PROC NEC,Minor Diagnostic
583 ,EXCIS DESTR URETHRA LES (Begin 1980 End 1990),Minor Therapeutic
5831,ENDOSC DESTR URETHRA LES (Begin 1990),Minor Therapeutic
5839,OTHER DESTRU URETHRA LES (Begin 1990),Minor Therapeutic
5841,SUTURE URETHRAL LACERAT,Major Therapeutic
5842,URETHROSTOMY CLOSURE,Major Therapeutic
5843,CLOSE URETH FISTULA NEC,Major Therapeutic
5844,URETHRAL REANASTOMOSIS,Major Therapeutic
5845,HYPOEPISPADIUS REPAIR,Major Therapeutic
5846,URETH RECONSTRUCTION NEC,Major Therapeutic
5847,URETHRAL MEATOPLASTY,Major Therapeutic
5849,URETHRAL REPAIR NEC,Major Therapeutic
585 ,URETH STRICTURE RELEASE,Major Therapeutic
586 ,URETHRAL DILATION,Minor Therapeutic
5891,PERIURETHRAL INCISION,Major Therapeutic
5892,PERIURETHRAL EXCISION,Major Therapeutic
5893,IMPLT ARTF URIN SPHINCT (Begin 1986),Major Therapeutic
5899,URETH/PERIURETH OP NEC,Major Therapeutic
5900,RETROPERIT DISSECT NOS,Major Therapeutic
5901,URETEROLYS FOR FIBROSIS,Major Therapeutic
5902,PERIREN ADHESIOLYS NEC,Major Therapeutic
5903,LAPAROSC LYSIS VESC ADH (Begin 1996),Major Therapeutic
5909,PERIREN/URETER INCIS NEC,Major Therapeutic
5911,PERIVESICAL ADHESIOLYSIS,Major Therapeutic
5912,OTH LYSUS VESICAL ADH (Begin 1996),Major Therapeutic
5919,PERIVESICAL INCISION NEC,Major Therapeutic
5921,PERIREN/URETERAL BIOPSY,Major Diagnostic
5929,PERIREN/URET DX PROC NEC,Major Diagnostic
593 ,URETHROVES JUNCT PLICAT,Major Therapeutic
594 ,SUPRAPUBIC SLING OP,Major Therapeutic
595 ,RETROPUBIC URETH SUSPENS,Major Therapeutic
596 ,PARAURETHRAL SUSPENSION,Major Therapeutic
5971,LEVATOR MUSC SUSPENSION,Major Therapeutic
5972,INJECT IMPL URETHRA (Begin 1995),Minor Therapeutic
5979,URIN INCONTIN REPAIR NEC,Major Therapeutic
598 ,URETERAL CATHETERIZATION,Minor Therapeutic
5991,PERIREN/VESICLE EXCISION,Major Therapeutic
5992,PERIREN/VESICLE OP NEC,Major Therapeutic
5993,REPLACE URETEROST TUBE,Minor Therapeutic
5994,REPLACE CYSTOSTOMY TUBE,Minor Therapeutic
5995,ULTRASON FRAGMENTSTONE,Minor Therapeutic
5996,LITHOTRIPSY URIN (Begin 1986 End 1989),Minor Therapeutic
5999,URINARY SYSTEM OP NEC,Minor Therapeutic
600 ,INCISION OF PROSTATE,Major Therapeutic
6011,CLOSED PROSTATIC BX,Minor Diagnostic
6012,OPEN PROSTATIC BX,Major Diagnostic
6013,CLOS SEMINAL VES BX,Minor Diagnostic
6014,OPEN SEMINAL VES BX,Major Diagnostic
6015,PERIPROSTATIC BIOPSY,Major Diagnostic
6018,PROSTATIC DX PROCED NEC,Major Diagnostic
6019,SEMIN VES DX PROCED NEC,Major Diagnostic
602 ,TRANSURETHRAL PROSTATECT (End 1995),Major Therapeutic
6021,TRANSUR ULTRAS LASER PROST (Begin 1995),Major Therapeutic
6029,OTHER TURP (Begin 1995),Major Therapeutic
603 ,SUPRAPUBIC PROSTATECTOMY,Major Therapeutic
604 ,RETROPUBIC PROSTATECTOMY,Major Therapeutic
605 ,RADICAL PROSTATECTOMY,Major Therapeutic
6061,LOS EXCIS PROSTATIC LES,Major Therapeutic
6062,PERINEAL PROSTATECTOMY,Major Therapeutic
6069,PROSTATECTOMY NEC,Major Therapeutic
6071,PERCUT SEMIN VES ASPIRAT,Minor Therapeutic
6072,SEMINAL VESICLE INCISION,Major Therapeutic
6073,SEMINAL VESICLE EXCISION,Major Therapeutic
6079,SEMINAL VESICLE OP NEC,Major Therapeutic
6081,PERIPROSTATIC INCISION,Major Therapeutic
6082,PERIPROSTATIC EXCISION,Major Therapeutic
6091,PERCUT PROSTATIC ASPIRAT,Minor Therapeutic
6092,INJECTION INTO PROSTATE,Minor Therapeutic
6093,REPAIR OF PROSTATE,Major Therapeutic
6094,CONTROL POSTOP PROST HEM,Major Therapeutic
6095,TRANS BAL DIL PROS URETH (Begin 1991),Major Therapeutic
6096,TRANSUR MICROWAVE THERMO PRO (Begin 2000),Major Therapeutic
6097,TRANSUR OTHER THERMO PROSTAT (Begin 2000),Major Therapeutic
6099,PROSTATIC OPERATION NEC,Major Therapeutic
610 ,SCROTUM & TUNICA I & D,Minor Therapeutic
6111,SCROTUM & TUNICA BIOPSY,Minor Diagnostic
6119,SCROT/TUNICA DX PROC NEC,Minor Diagnostic
612 ,EXCISION OF HYDROCELE,Major Therapeutic
613 ,SCROTAL LES DESTRUCTION,Minor Therapeutic
6141,SUTURE SCROTAL LACERAT,Minor Therapeutic
6142,SCROTAL FISTULA REPAIR,Major Therapeutic
6149,SCROTUM/TUNIC REPAIR NEC,Major Therapeutic
6191,PERCUT TUNICA ASPIRATION,Minor Therapeutic
6192,EXCISION TUNICA LES NEC,Major Therapeutic
6199,SCROTUM & TUNICA OP NEC,Major Therapeutic
620 ,INCISION OF TESTES,Major Therapeutic
6211,CLOSED TESTICULAR BIOPSY,Minor Diagnostic
6212,OPEN TESTICULAR BIOPSY,Major Diagnostic
6219,TESTES DX PROCEDURE NEC,Major Diagnostic
622 ,TESTICULAR LES DESTRUCT,Major Therapeutic
623 ,UNILATERAL ORCHIECTOMY,Major Therapeutic
6241,REMOVE BOTH TESTES,Major Therapeutic
6242,REMOVE SOLITARY TESTIS,Major Therapeutic
625 ,ORCHIOPEXY,Major Therapeutic
6261,SUTURE TESTICULAR LACER,Major Therapeutic
6269,TESTICULAR REPAIR NEC,Major Therapeutic
627 ,INSERT TESTICULAR PROSTH,Major Therapeutic
6291,ASPIRATION OF TESTES,Minor Therapeutic
6292,INJECTION INTO TESTES,Minor Therapeutic
6299,TESTICULAR OPERATION NEC,Major Therapeutic
6301,SPERMATIC CORD/VAS BIOPS,Minor Diagnostic
6309,SPERMAT CORD/VAS DX NEC,Major Diagnostic
631 ,EXC SPERMATIC VARICOCELE,Major Therapeutic
632 ,EXCISE EPIDIDYMIS CYST,Major Therapeutic
633 ,EXCISE CORD/EPID LES NEC,Major Therapeutic
634 ,EPIDIDYMECTOMY,Major Therapeutic
6351,SUTURE CORD & EPID LACER,Major Therapeutic
6352,REDUCTION TORSION TESTES,Minor Therapeutic
6353,TRANSPLANT SPERMAT CORD,Major Therapeutic
6359,CORD & EPIDID REPAIR NEC,Major Therapeutic
636 ,VASOTOMY,Minor Therapeutic
6370,MALE STERILIZATION NOS,Minor Therapeutic
6371,LIGATION OF VAS DEFERENS,Minor Therapeutic
6372,SPERMATIC CORD LIGATION,Minor Therapeutic
6373,VASECTOMY,Minor Therapeutic
6381,SUTURE VAS & EPIDID LAC,Major Therapeutic
6382,POSTOP VAS RECONSTRUCT,Major Therapeutic
6383,EPIDIDYMOVASOSTOMY,Major Therapeutic
6384,REMOVAL VAS LIGATURE,Minor Therapeutic
6385,REMOV VAS DEFERENS VALVE,Major Therapeutic
6389,VAS & EPIDIDY REPAIR NEC,Major Therapeutic
6391,SPERMATOCELE ASPIRATION,Minor Therapeutic
6392,EPIDIDYMOTOMY,Major Therapeutic
6393,SPERMATIC CORD INCISION,Major Therapeutic
6394,SPERM CORD ADHESIOLYSIS,Major Therapeutic
6395,INSERT VALVE IN VAS DEF,Major Therapeutic
6399,CORD/EPID/VAS OPS NEC,Major Therapeutic
640 ,CIRCUMCISION,Major Therapeutic
6411,PENILE BIOPSY,Major Diagnostic
6419,PENILE DIAGNOST PROC NEC,Minor Diagnostic
642 ,LOCAL EXCIS PENILE LES,Major Therapeutic
643 ,AMPUTATION OF PENIS,Major Therapeutic
6441,SUTURE PENILE LACERATION,Major Therapeutic
6442,RELEASE OF CHORDEE,Major Therapeutic
6443,CONSTRUCTION OF PENIS,Major Therapeutic
6444,RECONSTRUCTION OF PENIS,Major Therapeutic
6445,REPLANTATION OF PENIS,Major Therapeutic
6449,PENILE REPAIR NEC,Major Therapeutic
645 ,SEX TRANSFORMAT OP NEC,Major Therapeutic
6491,DORSAL/LAT SLIT PREPUCE,Minor Therapeutic
6492,INCISION OF PENIS,Major Therapeutic
6493,DIVISION OF PENILE ADHES,Major Therapeutic
6494,FIT EXT PENILE PROSTHES,Minor Therapeutic
6495,INS NONINFL PENIS PROSTH,Major Therapeutic
6496,REMOVE INT PENILE PROSTH,Major Therapeutic
6497,INS INFLATE PENIS PROSTH (Begin 1986),Major Therapeutic
6498,PENILE OPERATION NEC,Major Therapeutic
6499,MALE GENITAL OP NEC,Major Therapeutic
650 ,OOPHOROTOMY (End 1996),Major Therapeutic
6501,LAPAROSC OOPHOROTOMY (Begin 1996),Major Therapeutic
6509,OTHER OOPHOROTOMY (Begin 1996),Major Therapeutic
6511,OVARIAN ASPIRAT BIOPSY,Major Diagnostic
6512,OVARIAN BIOPSY NEC,Major Diagnostic
6513,LAPAR BX OVARY (Begin 1996),Major Diagnostic
6514,OTH LAPAR DX PROCS (Begin 1996),Major Diagnostic
6519,OVARIAN DX PROCEDURE NEC,Major Diagnostic
6521,OVARIAN CYST MARSUPIALIZ,Major Therapeutic
6522,OVARIAN WEDGE RESECTION,Major Therapeutic
6523,LAPAR MARSUP OVARY (Begin 1996),Major Therapeutic
6524,LAPAR WEDGE RESCT OV (Begin 1996),Major Therapeutic
6525,OTH LAPAR EXCIS OV (Begin 1996),Major Therapeutic
6529,LOCAL DESTR OVA LES NEC,Major Therapeutic
653 ,UNILATERAL OOPHORECTOMY (End 1996),Major Therapeutic
6531,LAPARSC OOPHECTOMY UNI (Begin 1996),Major Therapeutic
6539,OTH LAPARSC OOPHECT UNI (Begin 1996),Major Therapeutic
654 ,UNILAT SALPINGOOOPHOREC (End 1996),Major Therapeutic
6541,LAPAR SALP OOPH UNI (Begin 1996),Major Therapeutic
6549,OTH SALP OOPH UNI (Begin 1996),Major Therapeutic
6551,REMOVE BOTH OVARIES,Major Therapeutic
6552,REMOVE SOLITARY OVARY,Major Therapeutic
6553,LAPAR BIL OOPH (Begin 1996),Major Therapeutic
6554,LAPAR REMOV REMAIN OV (Begin 1996),Major Therapeutic
6561,REMOVE BOTH TUBES & OVAR,Major Therapeutic
6562,REMOVE SOLITARY TUBE/OVA,Major Therapeutic
6563,LAPAR REMOV SALP OV BIL (Begin 1996),Major Therapeutic
6564,LAPAR REMV SALP OV REM (Begin 1996),Major Therapeutic
6571,SIMPLE SUTURE OF OVARY,Major Therapeutic
6572,OVARIAN REIMPLANTATION,Major Therapeutic
6573,SALPINGOOOPHOROPLASTY,Major Therapeutic
6574,LAPAR SUTURE OV (Begin 1996),Major Therapeutic
6575,LAPAR REIMPLANT OV (Begin 1996),Major Therapeutic
6576,LAPAR SALPOOPHPLASTY (Begin 1996),Major Therapeutic
6579,REPAIR OF OVARY NEC,Major Therapeutic
658 ,TUBOOVARIAN ADHESIOLYS (End 1996),Major Therapeutic
6581,LAPAR LYSIS ADHES OV (Begin 1996),Major Therapeutic
6589,OTH LYSIS ADHES OV (Begin 1996),Major Therapeutic
6591,ASPIRATION OF OVARY,Major Therapeutic
6592,TRANSPLANTATION OF OVARY,Major Therapeutic
6593,MANUAL RUPT OVARIAN CYST,Major Therapeutic
6594,OVARIAN DENERVATION,Major Therapeutic
6595,OVARIAN TORSION RELEASE,Major Therapeutic
6599,OVARIAN OPERATION NEC,Major Therapeutic
660 ,SALPINGOTOMY (Begin 1980 End 1992),Major Therapeutic
6601,SALPINGOTOMY (Begin 1992),Major Therapeutic
6602,SALPINGOSTOMY (Begin 1992),Major Therapeutic
6611,FALLOPIAN TUBE BIOPSY,Major Diagnostic
6619,FALLOP TUBE DX PROC NEC,Major Diagnostic
6621,BILAT ENDOSC CRUSH TUBE,Major Therapeutic
6622,BILAT ENDOSC DIVIS TUBE,Major Therapeutic
6629,BILAT ENDOS OCC TUBE NEC,Major Therapeutic
6631,BILAT TUBAL CRUSHING NEC,Major Therapeutic
6632,BILAT TUBAL DIVISION NEC,Major Therapeutic
6639,BILAT TUBAL DESTRUCT NEC,Major Therapeutic
664 ,TOTAL UNILAT SALPINGECT,Major Therapeutic
6651,REMOVE BOTH FALLOP TUBES,Major Therapeutic
6652,REMOVE SOLITARY FAL TUBE,Major Therapeutic
6661,DESTROY FALLOP TUBE LES,Major Therapeutic
6662,REMOV TUBE & ECTOP PREG,Major Therapeutic
6663,BILAT PART SALPINGEC NOS,Major Therapeutic
6669,PARTIAL SALPINGECTOM NEC,Major Therapeutic
6671,SIMPL SUTURE FALLOP TUBE,Major Therapeutic
6672,SALPINGOOOPHOROSTOMY,Major Therapeutic
6673,SALPINGOSALPINGOSTOMY,Major Therapeutic
6674,SALPINGOUTEROSTOMY,Major Therapeutic
6679,FALLOP TUBE REPAIR NEC,Major Therapeutic
668 ,FALLOPIAN TUBE INSUFFLAT,Minor Therapeutic
6691,FALLOPIAN TUBE ASPIRAT,Minor Therapeutic
6692,UNILAT FALLOP TUBE DESTR,Major Therapeutic
6693,IMPL FALLOP TUBE PROSTH,Major Therapeutic
6694,REMOV FALLOP TUBE PROSTH,Major Therapeutic
6695,BLOW THERAPEUT INTO TUBE,Major Therapeutic
6696,FALLOPIAN TUBE DILATION,Major Therapeutic
6697,BURY FIMBRIAE IN UTERUS,Major Therapeutic
6699,FALLOPIAN TUBE OP NEC,Major Therapeutic
670 ,CERVICAL CANAL DILATION,Minor Therapeutic
6711,ENDOCERVICAL BIOPSY,Major Diagnostic
6712,CERVICAL BIOPSY NEC,Major Diagnostic
6719,CERVICAL DX PROCEDUR NEC,Major Diagnostic
672 ,CONIZATION OF CERVIX,Major Therapeutic
6731,CERVICAL CYST MARSUPIAL,Major Therapeutic
6732,CERVICAL LES CAUTERIZAT,Major Therapeutic
6733,CERVICAL LES CRYOTHERAPY,Major Therapeutic
6739,CERVICAL LES DESTRUC NEC,Major Therapeutic
674 ,AMPUTATION OF CERVIX,Major Therapeutic
675 ,INT CERVICAL OS REPAIR (End 2001),Major Therapeutic
6751,TRANSABDOMINAL CERCLAGE OF C (Begin 2001),Major Therapeutic
6759,OTHER REPAIR OF INT CERVICAL (Begin 2001),Major Therapeutic
6761,SUTURE CERVICAL LACERAT,Major Therapeutic
6762,CERVICAL FISTULA REPAIR,Major Therapeutic
6769,CERVICAL REPAIR NEC,Major Therapeutic
680 ,HYSTEROTOMY,Major Therapeutic
6811,DIGITAL EXAM OF UTERUS,Minor Diagnostic
6812,HYSTEROSCOPY,Minor Diagnostic
6813,OPEN UTERINE BIOPSY,Major Diagnostic
6814,OPEN UTERINE LIGAMENT BX,Major Diagnostic
6815,CLOS UTERINE LIGAMENT BX (Begin 1987),Major Diagnostic
6816,CLOSED UTERINE BIOPSY (Begin 1987),Major Diagnostic
6819,UTERUS/ADNEX DX PROC NEC,Major Diagnostic
6821,ENDOMET SYNECHIAE DIVIS,Major Therapeutic
6822,INCISION UTERINE SEPTUM,Major Therapeutic
6823,ENDOMETRIAL ABLATION (Begin 1996),Major Therapeutic
6824,UTERINE ART EMB W COILS (Begin 2011),Major Therapeutic
6825,UTERINE ART EMB W/O COIL (Begin 2011),Major Therapeutic
6829,UTERINE LES DESTRUCT NEC,Major Therapeutic
683 ,SUBTOT ABD HYSTERECTOMY (End 2003),Major Therapeutic
6831,LAPAROSCOPIC SUPRACERVICAL H (Begin 2003),Major Therapeutic
6839,OTHER SUBTOTAL ABDOMINAL HYS (Begin 2003),Major Therapeutic
684 ,TOTAL ABD HYSTERECTOMY,Major Therapeutic
6841,LAP TOTAL ABDOMINAL HYST (Begin 2006),Major Therapeutic
6849,TOTAL ABD HYST NEC/NOS   (Begin 2006),Major Therapeutic
685 ,VAGINAL HYSTERECTOMY (End 1996),Major Therapeutic
6851,LAPAR ASSIST VAG HYS (Begin 1996),Major Therapeutic
6859,OTH VAG HYS (Begin 1996),Major Therapeutic
686 ,RADICAL ABD HYSTERECTOMY,Major Therapeutic
6861,LAP RADICAL ABDOMNL HYST (Begin 2006),Major Therapeutic
6869,RADICAL ABD HYST NEC/NOS (Begin 2006),Major Therapeutic
687 ,RADICAL VAG HYSTERECTOMY,Major Therapeutic
6871,LAP RADICAL VAGINAL HYST (Begin 2006),Major Therapeutic
6879,RADICAL VAG HYST NEC/NOS (Begin 2006),Major Therapeutic
688 ,PELVIC EVISCERATION,Major Therapeutic
689 ,OTHER UNSPEC HYSTERECTOMY (Begin 1992),Major Therapeutic
6901,D & C FOR PREG TERMINAT,Major Therapeutic
6902,D & C POST DELIVERY,Major Therapeutic
6909,D & C NEC,Major Diagnostic
6911,REMOVE INTRALIG ECT PREG (End 1992),Major Therapeutic
6919,DESTRUC UTER SUPPORT NEC,Major Therapeutic
6921,INTERPOSIT OP UTERIN LIG,Major Therapeutic
6922,UTERINE SUSPENSION NEC,Major Therapeutic
6923,VAG REPAIR INVERS UTERUS,Major Therapeutic
6929,UTERUS/ADNEXA REPAIR NEC,Major Therapeutic
693 ,PARACERV UTERINE DENERV,Major Therapeutic
6941,SUTURE UTERINE LACERAT,Major Therapeutic
6942,CLOSURE UTERINE FISTULA,Major Therapeutic
6949,UTERINE REPAIR NEC,Major Therapeutic
6951,ASPIRAT CURETPREG TERMI,Major Therapeutic
6952,ASPIRAT CURETPOST DELIV,Major Therapeutic
6959,ASPIR CURETT UTERUS NEC,Minor Therapeutic
696 ,MENSTRUAL EXTRACTION,Minor Therapeutic
697 ,INSERTION OF IUD,Minor Therapeutic
6991,INSERT UTERINE DEVICE,Minor Therapeutic
6992,ARTIFICIAL INSEMINATION,Minor Therapeutic
6993,INSERTION OF LAMINARIA,Minor Therapeutic
6994,MAN REPLACE INVERT UTER,Minor Therapeutic
6995,INCISION OF CERVIX,Major Therapeutic
6996,REMOVE CERVICAL CERCLAGE,Minor Therapeutic
6997,REMOVE PENETRAT CERV FB,Major Therapeutic
6998,UTERINE SUPPORT OP NEC,Major Therapeutic
6999,UTERINE OPERATION NEC,Major Therapeutic
700 ,CULDOCENTESIS,Minor Therapeutic
7011,HYMENOTOMY,Minor Therapeutic
7012,CULDOTOMY,Major Therapeutic
7013,INTRALUM VAG ADHESIOLYS,Major Therapeutic
7014,VAGINOTOMY NEC,Major Therapeutic
7021,VAGINOSCOPY,Minor Diagnostic
7022,CULDOSCOPY,Minor Diagnostic
7023,CULDESAC BIOPSY,Major Diagnostic
7024,VAGINAL BIOPSY,Major Diagnostic
7029,VAGIN/CULDESAC DX NEC,Major Diagnostic
7031,HYMENECTOMY,Major Therapeutic
7032,EXCIS CULDESAC LESION,Major Therapeutic
7033,EXCISION VAGINAL LESION,Major Therapeutic
704 ,VAGINAL OBLITERATION,Major Therapeutic
7050,CYSTOCEL/RECTOCEL REPAIR,Major Therapeutic
7051,CYSTOCELE REPAIR,Major Therapeutic
7052,RECTOCELE REPAIR,Major Therapeutic
7053,CYSTO & RECTO W GRF/PROS (Begin 2007),Major Therapeutic
7054,REP CYSTOCEL W GRFT/PROS (Begin 2007),Major Therapeutic
7055,REP RECTOCELE W GRF/PROS (Begin 2007),Major Therapeutic
7061,VAGINAL CONSTRUCTION,Major Therapeutic
7062,VAGINAL RECONSTRUCTION,Major Therapeutic
7063,VAGINAL CONST W GRF/PROS (Begin 2007),Major Therapeutic
7064,VAG RECONST W GRFT/PROS (Begin 2007),Major Therapeutic
7071,SUTURE VAGINA LACERATION,Major Therapeutic
7072,REPAIR COLOVAGIN FISTULA,Major Therapeutic
7073,REPAIR RECTOVAG FISTULA,Major Therapeutic
7074,REP VAGINOENT FISTUL NEC,Major Therapeutic
7075,REPAIR VAG FISTULA NEC,Major Therapeutic
7076,HYMENORRHAPHY,Major Therapeutic
7077,VAGINAL SUSPENS & FIXAT,Major Therapeutic
7078,VAG SUSP/FIX W GRFT/PROS (Begin 2007),Major Therapeutic
7079,VAGINAL REPAIR NEC,Major Therapeutic
708 ,VAGINAL VAULT OBLITERAT,Major Therapeutic
7091,VAGINAL OPERATION NEC,Major Therapeutic
7092,CULDESAC OPERATION NEC,Major Therapeutic
7093,CUL-DE-SAC GRF/PROS NEC (Begin 2007),Major Therapeutic
7094,INSERT BIOLOGICAL GRAFT (Begin 2007),Minor Therapeutic
7095,INSERT SYNTH GRAFT/PROST (Begin 2007),Minor Therapeutic
7101,VULVAR ADHESIOLYSIS,Major Therapeutic
7109,INCIS VULVA/PERINEUM NEC,Major Therapeutic
7111,VULVAR BIOPSY,Major Diagnostic
7119,VULVAR DIAGNOS PROC NEC,Major Diagnostic
7121,PERCUTAN BARTHOLIN ASPIR,Minor Therapeutic
7122,INCISE BARTHOLIN,Major Therapeutic
7123,BARTHOLIN GLAND MARSUP,Major Therapeutic
7124,DESTRUC BARTHOLIN GLAND,Major Therapeutic
7129,BARTHOLIN,Major Therapeutic
713 ,LOCAL VULVAR EXCIS NEC,Major Therapeutic
714 ,OPERATIONS ON CLITORIS,Major Therapeutic
715 ,RADICAL VULVECTOMY,Major Therapeutic
7161,UNILATERAL VULVECTOMY,Major Therapeutic
7162,BILATERAL VULVECTOMY,Major Therapeutic
7171,SUTURE VULVAR LACERATION,Major Therapeutic
7172,REPAIR VULVAR FISTULA,Major Therapeutic
7179,VULVAR/PERIN REPAIR NEC,Major Therapeutic
718 ,OT VULVAR OPERATIONS,Major Therapeutic
719 ,OT FEMALE GENITAL OPS,Major Therapeutic
720 ,LOW FORCEPS OPERATION,Minor Therapeutic
721 ,LOW FORCEPS W EPISIOTOMY,Minor Therapeutic
7221,MID FORCEPS W EPISIOTOMY,Minor Therapeutic
7229,MID FORCEPS OP NEC,Minor Therapeutic
7231,HIGH FORCEPS W EPISIOT,Minor Therapeutic
7239,HIGH FORCEPS OP NEC,Minor Therapeutic
724 ,FORCEPS ROTAT FETAL HEAD,Minor Therapeutic
7251,PART BRCH EXTRAC W FORCP,Minor Therapeutic
7252,PART BREECH EXTRACT NEC,Minor Therapeutic
7253,TOT BRCH EXTRAC W FORCEP,Minor Therapeutic
7254,TOT BREECH EXTRAC NEC,Minor Therapeutic
726 ,FORCEPSAFTERCOMING HEAD,Minor Therapeutic
7271,VACUUM EXT DEL W EPISIOT,Minor Therapeutic
7279,VACUUM EXTRACT DEL NEC,Minor Therapeutic
728 ,INSTRUMENT DELIVERY NEC,Minor Therapeutic
729 ,INSTRUMENT DELIVERY NOS,Minor Therapeutic
7301,INDUCT LABORRUPT MEMB,Minor Therapeutic
7309,ARTIF RUPT MEMBRANES NEC,Minor Therapeutic
731 ,SURG INDUCT LABOR NEC,Minor Therapeutic
7321,INT/COMB VERSION NO EXTR,Minor Therapeutic
7322,INT/COMB VERSION W EXTR,Minor Therapeutic
733 ,FAILED FORCEPS,Minor Therapeutic
734 ,MEDICAL INDUCTION LABOR,Minor Therapeutic
7351,MANUAL ROTAT FETAL HEAD,Minor Therapeutic
7359,MANUAL ASSIST DELIV NEC,Minor Therapeutic
736 ,EPISIOTOMY,Minor Therapeutic
738 ,FETAL OPSFACILITATE DEL,Minor Therapeutic
7391,EXT VERSIONASSIST DELIV,Minor Therapeutic
7392,REPLACE PROLAPSED CORD,Minor Therapeutic
7393,INCIS CX TO ASSIST DELIV,Minor Therapeutic
7394,PUBIOTOMY TO ASSIST DEL,Major Therapeutic
7399,OPS ASSISTING DELIV NEC,Major Therapeutic
740 ,CLASSICAL CSECTION,Major Therapeutic
741 ,LOW CERVICAL CSECTION,Major Therapeutic
742 ,EXTRAPERITONEAL CSECT,Major Therapeutic
743 ,REMOV INTRAPERIT FETUS (Begin 1992),Major Therapeutic
744 ,CESAREAN SECTION NEC,Major Therapeutic
7491,HYSTEROTOMY TO TERMIN PG,Major Therapeutic
7499,CESAREAN SECTION NOS,Major Therapeutic
750 ,INTRAAMNION INJ FOR AB,Minor Therapeutic
751 ,DIAGNOSTIC AMNIOCENTESIS,Minor Diagnostic
752 ,INTRAUTERINE TRANSFUSION,Minor Therapeutic
7531,AMNIOSCOPY,Minor Diagnostic
7532,FETAL EKG,Minor Diagnostic
7533,FETAL BLOOD SAMPLE/BX,Minor Diagnostic
7534,FETAL MONITORING NOS,Minor Diagnostic
7535,DX PROC FETUS/AMNION NEC,Minor Diagnostic
7536,CORRECTION FETAL DEFECT,Major Therapeutic
7537,AMNIOINFUSION (Begin 1998),Minor Therapeutic
7538,FETAL PULSE OXIMETRY (Begin 2001),Minor Diagnostic
754 ,MANUAL REMOVALPLACENTA,Minor Therapeutic
7550,REPAIR OB LAC UTERUS NOS,Major Therapeutic
7551,REPAIR OB LACERAT CERVIX,Major Therapeutic
7552,REPAIR OB LAC CORP UTERI,Major Therapeutic
7561,REPAIR OB LAC BLAD/URETH,Major Therapeutic
7562,REPAIR OB LAC RECT/ANUS,Minor Therapeutic
7569,REPAIR OB LACERATION NEC,Minor Therapeutic
757 ,MANUAL EXPLOR UTERUS P/P,Minor Therapeutic
758 ,OB TAMPONADE UTERUS/VAG,Minor Therapeutic
7591,EVAC OB INC HEMAT PERIN,Minor Therapeutic
7592,EVAC OB HEMAT VULVA/VAG,Minor Therapeutic
7593,SURG CORR INVERT UTERUS,Major Therapeutic
7594,MAN REPLAC INVERT UTERUS,Minor Therapeutic
7599,OBSTETRIC OPERATION NEC,Major Therapeutic
7601,FACIAL BONE SEQUESTRECT,Major Therapeutic
7609,FACIAL BONE INCISION NEC,Major Therapeutic
7611,FACIAL BONE BIOPSY,Major Diagnostic
7619,FACIAL BONE DX PROC NEC,Major Diagnostic
762 ,DESTRUCT FACIAL BONE LES,Major Therapeutic
7631,PARTIAL MANDIBULECTOMY,Major Therapeutic
7639,PART FACIAL OSTECTOM NEC,Major Therapeutic
7641,TOT MANDIBULEC W RECONST,Major Therapeutic
7642,TOTAL MANDIBULECTOMY NEC,Major Therapeutic
7643,MANDIBULAR RECONST NEC,Major Therapeutic
7644,TOT FACE OSTECT W RECONS,Major Therapeutic
7645,TOT FACE BONE OSTECT NEC,Major Therapeutic
7646,FACIAL BONE RECONSTR NEC,Major Therapeutic
765 ,TEMPOROMAND ARTHROPLASTY,Major Therapeutic
7661,CL OSTEOPLASTY MAND RAMI,Major Therapeutic
7662,OPEN OSTEOPLAS MAND RAMI,Major Therapeutic
7663,OSTEOPLASTY MANDIBLE BDY,Major Therapeutic
7664,MAND ORTHOGNATHIC OP NEC,Major Therapeutic
7665,SEG OSTEOPLASTY MAXILLA,Major Therapeutic
7666,TOT OSTEOPLASTY MAXILLA,Major Therapeutic
7667,REDUCTION GENIOPLASTY,Major Therapeutic
7668,AUGMENTATION GENIOPLASTY,Major Therapeutic
7669,FACIAL BONE REPAIR NEC,Major Therapeutic
7670,REDUCTION FACIAL FX NOS,Major Therapeutic
7671,CL REDUCT MALAR/ZYGO FX,Minor Therapeutic
7672,OPN REDUCT MALAR/ZYGO FX,Major Therapeutic
